indice_EHF_RCP8.5,numero_ondate,massima_lunghezza,numero_di_heat_waves_days
1980,0,0,0
1981,0,0,0
1982,2,8,11
1983,1,6,6
1984,0,0,0
1985,0,0,0
1986,1,6,6
1987,3,10,18
1988,1,6,6
1989,1,4,4
1990,2,5,8
1991,0,0,0
1992,3,6,15
1993,1,3,3
1994,0,0,0
1995,1,4,4
1996,0,0,0
1997,1,3,3
1998,1,4,4
1999,3,6,13
2000,0,0,0
2001,0,0,0
2002,2,8,11
2003,1,6,6
2004,0,0,0
2005,0,0,0
2006,1,6,6
2007,3,10,18
2008,1,6,6
2009,1,4,4
2010,2,5,8
2011,0,0,0
2012,3,6,13
2013,1,4,4
2014,2,6,10
2015,2,10,16
2016,0,0,0
2017,3,8,18
2018,0,0,0
2019,2,4,7
2020,3,5,11
2021,0,0,0
2022,2,15,26
2023,3,5,15
2024,1,4,4
2025,7,12,35
2026,3,14,24
2027,2,11,16
2028,2,27,40
2029,1,8,8
2030,2,24,27
2031,1,10,10
2032,0,0,0
2033,4,7,17
2034,5,7,24
2035,5,9,26
2036,3,15,24
2037,1,4,4
2038,3,7,14
2039,4,11,29
2040,0,0,0
2041,3,12,26
2042,4,14,33
2043,3,6,14
2044,3,4,11
2045,3,13,21
2046,3,5,15
2047,2,12,15
2048,5,13,34
2049,4,18,61
2050,1,16,16
2051,4,14,25
2052,4,27,47
2053,5,17,42
2054,4,42,57
2055,4,13,39
2056,6,9,41
2057,2,16,20
2058,4,21,43
2059,2,27,35
2060,7,12,53
2061,2,51,58
2062,5,21,53
2063,6,33,56
2064,4,29,50
2065,4,20,55
2066,2,70,74
2067,4,28,49
2068,3,88,96
2069,8,19,81
2070,4,41,77
2071,6,13,32
2072,3,34,67
2073,3,34,54
2074,6,38,60
2075,5,27,73
2076,4,56,72
2077,2,67,76
2078,7,26,75
2079,4,68,83
2080,6,26,69
2081,3,54,73
2082,2,65,73
2083,2,73,79
2084,2,36,71
2085,2,38,65
2086,2,64,91
2087,2,64,69
2088,3,45,63
2089,5,34,89
2090,7,21,53
2091,2,63,87
2092,2,60,74
2093,2,90,94
2094,3,52,70
2095,6,29,71
2096,4,52,86
2097,3,73,92
2098,1,93,93
2099,3,75,89
2100,5,78,97
